occasion,petitions,page_number
"LENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to Christ our Lord and our unity in him. |  Lord, graciously hear us. Stir our consciences to help the hungry and the poor throughout the world. |  Lord, graciously hear us. (One, two or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Be moved by our urgent petitions, Lord, to answer our prayer of faith. Let no hope be in vain, no entreaty fruitless: through Christ our Lord. Amen. 60","69"
"LENT"," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen, and uphold them. |  Lord, graciously hear us. Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to Christ our Lord and our unity in him. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the -/intercession of Our Blessed Lady, the glorious and ever- virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, whose mercy is beyond telling, and whose goodness an infinite treasure, we give thanks to thy sovereign kindness for the gifts we have received, and beg for thy continued favour. Do not forsake us, but prepare us for the rewards to come: through Christ our Lord. Amen. 61","70"
"LENT"," Lord, graciously hear us. Be mindful of those who have died in fighting for their country, and all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. We ask thee, Lord, in thy kindness to listen to our petitions and generously heed our humble prayers: through Christ our Lord. Amen. 62","71"
"LENT"," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the a intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. We ask thee, Lord, in thy kindness to listen to our petitions and generously heed our humble prayers: through Christ our Lord. Amen. 63","72"
"LENT"," Lord, graciously hear us. Be mindful of those who have died in fighting for their country, and all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the -/ intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, Creator and Redeemer of all the faithful, grant to the souls of thy departed servants forgiveness of all their sins. Let our loving entreaties obtain for them the pardon they have always desired: thou who livest and reignest for ever. Amen. 64","73"
"APPENDIX"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless especially the families fo this place, that, following the example of Nazareth, they may show forth the Christian virtues. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) 65","74"
"LENT"," Lord, graciously hear us. Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly love. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless all the families of this place, our schools, and all who teach and learn therein, the activities in which we engage and the enterprises we undertake. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) OF ST JOSEPH THE INVITATION THE PETITIONS Reader. 66","75"
"LENT"," Lord, graciously hear us. Send us fair weather and rain in due season, that all may enjoy the fruits of the earth. |  Lord, graciously hear us. Grant to all doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. |  Lord, graciously hear us. Bless our young people, that, forgetful of themselves, they may find true happiness in knowing, loving, and serving thee. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) OF THE ANGELS THE INVITATION THE PETITIONS Reader. 67","76"
"LENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Bless the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) 68","77"
"LENT"," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit; enrich them with thy heavenly grace; prosper them with all happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. Console all those who mourn, and bring them comfort. |  Lord, graciously hear us. Reward all our benefactors, both living and dead, with the gift of eternal happiness. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, whose mercy is beyond telling, and whose goodness an infinite treasure, we give thanks to thy sovereign kindness for the gifts we have received, and beg for thy continued favour. Do not forsake us, but prepare us for the rewards to come: through Christ our Lord. Amen. 69","78"
"LENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, who by the grace of thy Holy Spirit hast filled the hearts of thy faithful with the gifts of charity, grant to thy servants for whom we entreat thy mercy, health of mind and body, so that they may love thee with all their strength, and do thy good pleasure with all their heart: through Christ our Lord. Amen. 70","79"
"LENT"," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Heal thy servants, Lord, who are sick and put their trust in thee. Send them help, Lord, and comfort. |  Lord, graciously hear us. uide us with the power of the Holy Spirit and teach us to know and do thy holy will. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, who by the grace of thy Holy Spirit hast filled the hearts of thy faithful with the gifts of charity, grant to thy servants for whom we entreat thy mercy, health of mind and body, so that they may learn to love thee with all their strength, and do thy good pleasure with all their heart: through Christ our Lord. Amen. THE PETITIONS Reader. 6 PF 71","80"
"LENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. May we be given the grace to pray according to thy will for our enemies and all who persecute us. |  Lord, graciously hear us. Grant that those who today receive thy sacraments may derive from them plentiful grace. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the -/ intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. We ask thee, Lord, in thy kindness to listen to our petitions and generously heed our humble prayers: through Christ our Lord. Amen. 72","81"
"LENT"," Lord, graciously hear us. Bless all those who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, who by the grace of thy Holy Spirit hast filled the hearts of thy faithful with the gifts of charity, grant to thy servants for whom we entreat thy mercy, health of mind and body, so that they may love thee with all their strength, and do thy good pleasure with all their heart: through Christ our Lord. Amen. 73","82"
"MATRIMONY"," Lord, graciously hear us. Help us to realize that we are stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion. |  Lord, graciously hear us. ANY THREE OF THE FOLLOWING PRAYERS MAY NOW BE ADDED: 1. Grant well-being of mind and body to N. and N., now united in holy matrimony. Lord, etc. 2. Sanctify this marriage by thy continued presence as thou didst at Cana in Galilee. Lord, etc. 3- Grant through the union of thy servants N. and N. the grace of a new Christian family. Lord, etc. 4. Preserve the happiness of this Bride and Bridegroom through a deep understanding of the Faith. Lord, etc. 5. Give this Bride and Bridegroom the grace to bear witness to the holiness of the married state. Lord, etc. 6. Renew by thy Holy Spirit the grace of this Sacrament for all married people here present today. Lord, etc. 74","83"
"LENT"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess, and to use thy gifts wisely and generously. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Inspire thy faithful to show forth in their lives that they are followers of thy Son, Our Lord Jesus Christ. |  Lord, graciously hear us. ANY THREE OF THE FOLLOWING PRAYERS MAY NOW BE ADDED: 1. Grant well-being of mind and body to N. and N., now united in holy matrimony. Lord, etc. NUPTIAL MASS. II THE INVITATION THE PETITIONS Reader. 75","84"
"LENT"," Lord, graciously hear us. Be mindful of those who have died in fighting for their country, and for all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. 76","85"
"LENT"," Lord, graciously hear us. Grant us the grace of a happy death in peace and charity. |  Lord, graciously hear us. ANY THREE OF THE FOLLOWING PRAYERS MAY NOW BE ADDED: 1. Lead thy departed servant N. into the company of all the saints. Lord, etc. 2. Bring to a happy resurrection thy departed servant N., who on earth was nourished by Christ’s Body, the bread of eternal life. Lord, etc. 3. (Bishop or priest). May this departed servant N. (consecrated a bishop and) sealed with the sacred priesthood, share in the eternal offering of Christ, our great High Priest. Lord, etc. 4. Grant to all our relatives, friends, and benefactors, who have departed this life, eternal rest. Lord, etc. 5. Bring comfort to all who mourn and grant them consolation. Lord, etc. 6. Grant to the souls of thy servants the forgiveness of all their sins, that through our prayers they may obtain that pardon which they have always desired. Lord. etc. Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, Creator and Redeemer of all the faithful, grant to the souls of thy departed servants forgiveness of their sins. Let our loving entreaties obtain for them the pardon they have always desired: thou who livest and reignest for ever. Amen. REQUIEM MASS. II THE INVITATION Celebrant. The Lord be with you. People. And also with you. C. Let us pray. As we pray for the repose of N. let us ask God the almighty Father to . console all those who mourn and give to all his people the grace to prepare for death by holiness of life. 77","86"
"LENT"," Lord, graciously hear us. Be mindful of those who have died in fighting for their country, and all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. Console all those who mourn, and bring them comfort. |  Lord, graciously hear us. Give us strength to bear our crosses in union with Christ our Lord. |  Lord, graciously hear us. ANY THREE OF THE FOLLOWING PRAYERS MAY NOW BE ADDED: 1. Lead thy departed servant N.into the company of all the saints. Lord, etc. 2. Bring to a happy resurrection thy departed servant N., who on earth was nourished by Christ’s Body, the bread of eternal life. Lord, etc. 3. (Bishop or priest). May this departed servant N., (consecrated a bishop and ) sealed with the sacred priesthood, share in the eternal offering of Christ, our great High Priest. Lord, etc. 4. Grant to all our relatives, friends, and benefactors, who have departed this life, eternal rest. Lord, etc. 5. Bring comfort to all who mourn and grant them consolation. Lord, etc. 6. Grant to the souls of thy servants the forgiveness of all their sins, that through our prayers they may obtain that pardon which they have always desired. Lord, etc. Iet us commend ourselves and all God’s people, living and dead, to the .j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, Creator and Redeemer of all the faithful, grant to the souls of thy departed servants forgiveness of all their sins. Let our loving entreaties obtain for them the pardon they have always desired: thou who livest and reignest for ever. Amen. 78","87"
"LENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the .j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, who by the grace of thy Holy Spirit hast filled the hearts of thy faithful with the gifts of charity, grant to thy servants for whom we entreat thy mercy, health of mind and body, so that they may love thee with all their strength, and do thy good pleasure with all their heart: through Christ our Lord. Amen. 79","88"
"LENT"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Almighty God, who hast given us grace at this time with one accord to &gt;. make our common supplications unto thee; and dost promise, that when two or three are gathered together in thy name thou wilt grant their requests: fulfil now, O Lord, the desires and petitions of thy servants, as may be most expedient for them; granting us in this world knowledge of thy truth, and in the world to come life everlasting: through Christ our Lord. Amen. 80","89"
"LENT"," Lord, graciously hear us. Bless all those who work for peace that they may achieve this holy purpose. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, who by the grace of thy Holy Spirit hast filled the hearts of thy faithful with the gifts of charity, grant to thy servants for whom we entreat thy mercy, health of mind and body, so that they may love thee with all their strength, and do thy good pleasure with all their heart: through Christ our Lord. Amen. 81","90"
"LENT"," Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them from all harm. | p. Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Give us strength to bear our crosses in union with Christ Our Lord. | p. Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, Creator and Redeemer of all the faithful, grant to the souls of thy departed servants forgiveness of all their sins. Let our loving entreaties obtain for them the pardon they have always desired: thou who livest and reignest for ever. Amen. 82","91"
"LENT"," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the -/intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Iisten with mercy. Lord, to our prayers of humble petition; and, in order _/ to grant our desires, make us ask what is according to thy will: through Christ our Lord. Amen. 83","92"
"LENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Stir our conscience to help the hungry and the poor throughout the world. |  Lord, graciously hear us. Bless our young people, that, forgetful of themselves, they may find true happiness in knowing, loving, and serving thee. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Iisten to the prayers of thy family, Lord, and lead us in whole-hearted u obedience to thee, supporting and shielding us. Through our trust in thy guidance may nothing harmful befall us and good things be ours in full measure: through Christ our Lord. Amen. 84","93"
"LENT"," Lord, graciously hear us. Be mindful of those who have died defending their country, and all who have sacrificed themselves for our well-being. |  Lord, graciously hear us. Console all who mourn, and bring them comfort. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) tet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, Creator and Redeemer of all the faithful, grant to the souls of thy departed servants forgiveness of all their sins. Let our loving entreaties obtain for them the pardon they have always desired: thou who livest and reignest for ever. Amen. 85","94"
"LENT"," Lord, graciously hear us. Bless our Sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, our refuge and our strength, listen to the devout prayers of thy Church, thou who art the source of compassion: and grant that what we ask in faith, we may obtain: through Christ our Lord. Amen. 86","95"
"LENT"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Renew thy Spirit within us, that our Mission may be fruitful in the lives of all thy people. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the a intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Almighty God, who hast given us grace at this time with one accord to - make our common supplications unto thee; and dost promise, than when two or three are gathered together in thy name thou wilt grant their requests: Fulfil now, O Lord, the desires and petitions of thy servants, as may be most expedient for them; granting us in this world knowledge of thy truth, and in the world to come life everlasting: through Christ Our Lord. Amen. 7 PF 87","96"
"LENT"," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Ioolc with compassion on the struggles of the poor, the perils of nations, the u ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives their following of thee. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. OGod, whose mercy is beyond telling, and whose goodness an infinite treasure, we give thanks to thy sovereign kindness for the gifts we have received, and beg for thy continued favour. Do not forsake us, but prepare us for the rewards to come: through Christ our Lord. Amen. 88","97"
"LENT"," Lord, graciously hear us. Help us to realise that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. God, who art moved by repentance to have mercy even on the greatest sinners, look kindly on our humble prayers and enlighten our hearts, so that we may have strength to fulfil thy commandments: through Christ our Lord. Amen. 89","98"
"LENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Be moved by our urgent petitions, Lord, to answer our prayer of faith. Let no hope be in vain, no entreaty fruitless: through Christ our Lord. Amen. 90","99"
