source,day_label,lect_num,type,reference,csv_incipit,derived_incipit,db_first_verse,rendered_first_line,problems
standard,Ordinary Time/17/Sunday/C,,first_reading,Gen 18:20-32,"IN those days, the LORD said: ""The outcry against Sodom and Gomorrah","In the beginning,","Then the LORD said, ""Because the outcry against Sodom and Gomorrah is great and their sin is very grave,","20. Then the LORD said, ""Because the outcry against Sodom and Gomorrah is great and their sin is very grave,",raw_verse_conjunction:then; verse_number_in_rendered
standard,Ordinary Time/18/Sunday/A,,first_reading,Isa 55:1-3,THUS says the LORD All you who are thirsty,Thus says the LORD:,"""Ho, every one who thirsts, come to the waters; and he who has no money, come, buy and eat! Come, buy wine and milk without money and without price.","1. THUS says the LORD:: ""Ho, every one who thirsts, come to the waters; and he who has no money, come, buy and eat! Come, buy wine and milk without money and without price.",raw_verse_conjunction:thus
standard,Ordinary Time/18/Sunday/A,,gospel,Matt 14:13-21,WHEN Jesus heard of the death of John the Baptist,"At that time,","Now when Jesus heard this, he withdrew from there in a boat to a lonely place apart. But when the crowds heard it, they followed him on foot from the towns.","13. WHEN Jesus heard of:: Now when Jesus heard this, he withdrew from there in a boat to a lonely place apart. But when the crowds heard it, they followed him on foot from the towns.",verse_number_in_rendered
standard,Ordinary Time/18/Sunday/B,,first_reading,"Exod 16:2-4, 12-15",THE whole Israelite community grumbled against Moses and Aaron.,"In those days,","And the whole congregation of the people of Israel murmured against Moses and Aaron in the wilderness,","2. THE whole Israelite community: And the whole congregation of the people of Israel murmured against Moses and Aaron in the wilderness,",verse_number_in_rendered; conjunction_after_incipit:and
standard,Ordinary Time/18/Sunday/B,,gospel,John 6:24-35,WHEN the crowd saw that neither Jesus nor his disciples were there,"At that time,","So when the people saw that Jesus was not there, nor his disciples, they themselves got into the boats and went to Caperna-um, seeking Jesus.","24. WHEN the crowd saw:: So when the people saw that Jesus was not there, nor his disciples, they themselves got into the boats and went to Caperna-um, seeking Jesus.",verse_number_in_rendered
standard,Ordinary Time/18/Sunday/C,,first_reading,Eccl 1:2; 2:21-23,"VANITY of vanities, says Qoheleth",I said to myself:,[BOOK_NOT_FOUND: Eccl],Reading text unavailable for Eccl 1:2; 2:21-23.,text_unavailable
standard,Ordinary Time/18/Sunday/C,,gospel,Luke 12:13-21,SOMEONE in the crowd said to Jesus,"At that time,","One of the multitude said to him, ""Teacher, bid my brother divide the inheritance with me.""","13. SOMEONE in the crowd:: One of the multitude said to Jesus, ""Teacher, bid my brother divide the inheritance with me.""",verse_number_in_rendered
standard,Ordinary Time/19/Sunday/A,,first_reading,"1 Kgs 19:9a, 11-13a","AT the mountain of God, Horeb","In those days,","And there he came to a cave, and lodged there; and behold, the word of the LORD came to him, and he said to him, ""What are you doing here, Elijah?""",9. AT the mountain of:: And there he came to a cave,verse_number_in_rendered
standard,Ordinary Time/19/Sunday/A,,gospel,Matt 14:22-33,"AFTER he had fed the people, Jesus made the disciples get into a boat","At that time,","Then he made the disciples get into the boat and go before him to the other side, while he dismissed the crowds.","22. Then Jesus made the disciples get into the boat and go before him to the other side, while he dismissed the crowds.",raw_verse_conjunction:then; verse_number_in_rendered
standard,Ordinary Time/19/Sunday/B,,first_reading,1 Kgs 19:4-8,ELIJAH went a day's journey into the desert,"In those days,","But he himself went a day's journey into the wilderness, and came and sat down under a broom tree; and he asked that he might die, saying, ""It is enough; now, O LORD, take away my life; for I am no better than my fathers.""","4. But he himself went a day's journey into the wilderness, and came and sat down under a broom tree; and he asked that he might die, saying, ""It is enough; now, O LORD, take away my life; for I am no better than my fathers.""",raw_verse_conjunction:but; verse_number_in_rendered
standard,Ordinary Time/19/Sunday/B,,gospel,John 6:41-51,THE Jews murmured about Jesus because he said,"At that time,","The Jews then murmured at him, because he said, ""I am the bread which came down from heaven.""","41. The Jews then murmured at Jesus, because he said, ""I am the bread which came down from heaven.""",verse_number_in_rendered
standard,Ordinary Time/19/Sunday/C,,first_reading,Wis 18:6-9,THE night of the passover was known beforehand to our fathers,Wisdom has been given to us:,"That night was made known beforehand to our fathers,","6. That night was made known beforehand to our fathers,",raw_verse_pronoun:that; verse_number_in_rendered
standard,Ordinary Time/19/Sunday/C,,gospel,Luke 12:32-48 or 12:35-40,"JESUS said to his disciples ""Do not be afraid any longer, little flock","At that time,",[PARSE_ERROR],Reading text unavailable for Luke 12:32-48 or 12:35-40.,text_unavailable
standard,Ordinary Time/20/Sunday/A,,first_reading,"Isa 56:1, 6-7","THUS says the LORD Observe what is right, do what is just",Thus says the LORD:,"Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","1. THUS says the LORD:: Says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.",raw_verse_conjunction:thus
standard,Ordinary Time/20/Sunday/A,,gospel,Matt 15:21-28,"AT that time, Jesus withdrew to the region of Tyre and Sidon.","At that time,",And Jesus went away from there and withdrew to the district of Tyre and Sidon.,"21. AT that time, Jesus: Jesus went away from there and withdrew to the district of Tyre and Sidon.",verse_number_in_rendered
standard,Ordinary Time/20/Sunday/B,,first_reading,Prv 9:1-6,WISDOM has built her house,,[BOOK_NOT_FOUND: Prv],Reading text unavailable for Prv 9:1-6.,text_unavailable
standard,Ordinary Time/20/Sunday/B,,gospel,John 6:51-58,"JESUS said to the crowds ""I am the living bread that came down from heaven","At that time,","I am the living bread which came down from heaven; if any one eats of this bread, he will live for ever; and the bread which I shall give for the life of the world is my flesh.""","51. I am the living bread which came down from heaven; if any one eats of this bread, he will live for ever; and the bread which I shall give for the life of the world is my flesh.""",verse_number_in_rendered
standard,Ordinary Time/20/Sunday/C,,first_reading,"Jer 38:4-6, 8-10","IN those days, the princes said to the king",Thus says the LORD:,"Then the princes said to the king, ""Let this man be put to death, for  he is weakening the hands of the soldiers who are left in this city, and the hands of all the people, by speaking such words to them. For this man is not seeking the welfare of this people, but their harm.""","4. Then the princes said to the king, ""Let this man be put to death, for  he is weakening the hands of the soldiers who are left in this city, and the hands of all the people, by speaking such words to them. For this man is not seeking the welfare of this people, but their harm.""",raw_verse_conjunction:then; verse_number_in_rendered
standard,Ordinary Time/20/Sunday/C,,gospel,John 12:49-53,"JESUS said to his disciples ""I have come to set the earth on fire","At that time,",For I have not spoken on my own authority; the Father who sent me has himself given me commandment what to say and what to speak.,49. JESUS said to his:: I have not spoken on my own authority; the Father who sent me has himself given me commandment what to say and what to speak.,verse_number_in_rendered
standard,Ordinary Time/21/Sunday/A,,first_reading,Isa 22:19-23,"THUS says the Lord to Shebna, master of the palace",Thus says the LORD:,"I will thrust you from your office, and you will be cast down from your station.","19. THUS says the Lord:: I will thrust you from your office, and you will be cast down from your station.",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/21/Sunday/A,,gospel,Matt 16:13-20,JESUS went into the region of Caesarea Philippi and,"At that time,","Now when Jesus came into the district of Caesarea Philippi, he asked his disciples, ""Who do men say that the Son of man is?""","13. Now when Jesus came into the district of Caesarea Philippi, he asked his disciples, ""Who do men say that the Son of man is?""",raw_verse_conjunction:now; verse_number_in_rendered
standard,Ordinary Time/21/Sunday/B,,first_reading,"Jos 24:1-2a, 15-17, 18b",JOSHUA gathered together all the tribes of Israel at Shechem,,[BOOK_NOT_FOUND: Jos],"Reading text unavailable for Jos 24:1-2a, 15-17, 18b.",text_unavailable
standard,Ordinary Time/21/Sunday/B,,gospel,John 6:60-69,MANY of Jesus'disciples who were listening said,"At that time,","Many of his disciples, when they heard it, said, ""This is a hard saying; who can listen to it?""","60. MANY of Jesus'disciples who:: Many of his disciples, when they heard it, said, ""This is a hard saying; who can listen to it?""",verse_number_in_rendered
standard,Ordinary Time/21/Sunday/C,,first_reading,Isa 66:18-21,THUS says the LORD I know their works and their thoughts,Thus says the LORD:,"""For I know their works and their thoughts, and I am coming to gather all nations and tongues; and they shall come and shall see my glory,","18. THUS says the LORD:: ""For I know their works and their thoughts, and I am coming to gather all nations and tongues; and they shall come and shall see my glory,",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/21/Sunday/C,,gospel,Luke 13:22-30,JESUS passed through towns and villages,"At that time,","He went on his way through towns and villages, teaching, and journeying toward Jerusalem.","22. Jesus went on his way through towns and villages, teaching, and journeying toward Jerusalem.",verse_number_in_rendered
standard,Ordinary Time/22/Sunday/A,,first_reading,Jer 20:7-9,"YOU duped me, O LORD, and I let myself be duped",Thus says the LORD:,"O LORD, thou hast deceived me, and I was deceived; thou art stronger than I, and thou hast prevailed. I have become a laughingstock all the day; every one mocks me.","7. YOU duped me, O:: O LORD, thou hast deceived me, and I was deceived; thou art stronger than I, and thou hast prevailed. I have become a laughingstock all the day; every one mocks me.",verse_number_in_rendered
standard,Ordinary Time/22/Sunday/A,,gospel,Matt 16:21-27,JESUS began to show his disciples,"At that time,","From that time Jesus began to show his disciples that he must go to Jerusalem and suffer many things from the elders and chief priests and scribes, and be killed, and on the third day be raised.","21.     From that time Jesus began to show his disciples that he must go to Jerusalem and suffer many things from the elders and chief priests and scribes, and be killed, and on the third day be raised.",verse_number_in_rendered
standard,Ordinary Time/22/Sunday/C,,first_reading,"Sir 3:17-18, 20, 28-29","MY child, conduct your affairs with humility","My son,","My son, perform your tasks in meekness; then you will be loved by those whom God accepts.","17. MY child, conduct your:: My son, perform your tasks in meekness; then you will be loved by those whom God accepts.",verse_number_in_rendered
standard,Ordinary Time/23/Sunday/A,,first_reading,Ez 33:7-9,"THUS says the LORD You, son of man, I have appointed watchman for the house of Israel",,"""So you, son of man, I have made a watchman for the house of Israel; whenever you hear a word from my mouth, you shall give them warning from me.","7. THUS says the LORD:: ""So you, son of man, I have made a watchman for the house of Israel; whenever you hear a word from my mouth, you shall give them warning from me.",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/23/Sunday/A,,gospel,Matt 18:15-20,"JESUS said to his disciples ""If your brother sins against you","At that time,","""If your brother sins against you, go and tell him his fault, between you and him alone. If he listens to you, you have gained your brother.","15. JESUS said to his:: ""If your brother sins against you, go and tell him his fault, between you and him alone. If he listens to you, you have gained your brother.",verse_number_in_rendered
standard,Ordinary Time/23/Sunday/B,,first_reading,Isa 35:4-7a,THUS says the LORD Say to those whose hearts are frightened,Thus says the LORD:,"Say to those who are of a fearful heart, ""Be strong, fear not! Behold, your God will come with vengeance, with the recompense of God. He will come and save you.""","4. THUS says the LORD:: Say to those who are of a fearful heart, ""Be strong, fear not! Behold, your God will come with vengeance, with the recompense of God. He will come and save you.""",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/23/Sunday/B,,gospel,Mark 7:31-37,AGAIN Jesus left the district of Tyre,"At that time,","Then he returned from the region of Tyre, and went through Sidon to the Sea of Galilee, through the region of the Decapolis.","31. AGAIN Jesus left the:: Then Jesus returned from the region of Tyre, and went through Sidon to the Sea of Galilee, through the region of the Decapolis.",raw_verse_conjunction:again; verse_number_in_rendered
standard,Ordinary Time/23/Sunday/C,,first_reading,Wis 9:13-18b,WHO can know God's counsel,Wisdom has been given to us:,For what man can learn the counsel of God?,13. WHO can know God's:: For what man can learn the counsel of God?,raw_verse_pronoun:who; verse_number_in_rendered
standard,Ordinary Time/23/Sunday/C,,gospel,Luke 14:25-33,GREAT crowds were traveling with Jesus,"At that time,","Now great multitudes accompanied him; and he turned and said to them,","25. GREAT crowds were traveling:: Now great multitudes accompanied Jesus; and he turned and said to them,",verse_number_in_rendered
standard,Ordinary Time/24/Sunday/A,,first_reading,Sir 27:30-28:9,WRATH and anger are hateful things,"My son,","Anger and wrath, these also are abominations,","30. Anger and wrath, these also are abominations,",verse_number_in_rendered
standard,Ordinary Time/24/Sunday/A,,gospel,Matt 18:21-35,PETER approached Jesus and asked him,"At that time,","Then Peter came up and said to him, ""Lord, how often shall my brother sin against me, and I forgive him? As many as seven times?""","21. PETER approached Jesus and:: Then Peter came up and said to Jesus, ""Lord, how often shall my brother sin against me, and I forgive him? As many as seven times?""",verse_number_in_rendered
standard,Ordinary Time/24/Sunday/B,,first_reading,Isa 50:5-9a,THE Lord GOD opens my ear that I may hear,Thus says the LORD:,"The Lord GOD has opened my ear, and I was not rebellious, I turned not backward.","5. The Lord GOD has opened my ear, and I was not rebellious, I turned not backward.",verse_number_in_rendered
standard,Ordinary Time/24/Sunday/B,,gospel,Mark 8:27-35,JESUS and his disciples set out,"At that time,","And Jesus went on with his disciples, to the villages of Caesarea Philippi; and on the way he asked his disciples, ""Who do men say that I am?""","27. JESUS and his disciples:: And Jesus went on with his disciples, to the villages of Caesarea Philippi; and on the way he asked his disciples, ""Who do men say that I am?""",verse_number_in_rendered
standard,Ordinary Time/24/Sunday/C,,first_reading,"Exod 32:7-11, 13-14",THE LORD said to Moses,"In those days,","And the LORD said to Moses, ""Go down; for your people, whom you brought up out of the land of Egypt, have corrupted themselves;","7. And the LORD said to Moses, ""Go down; for your people, whom you brought up out of the land of Egypt, have corrupted themselves;",raw_verse_conjunction:and; verse_number_in_rendered
standard,Ordinary Time/24/Sunday/C,,gospel,Luke 15:1-32 or 15:1-10,TAX collectors and sinners were all drawing near to listen to Jesus,"At that time,",[PARSE_ERROR],Reading text unavailable for Luke 15:1-32 or 15:1-10.,text_unavailable
standard,Ordinary Time/24/Sunday/C,,first_reading,"Exod 32:7-11, 13-14",THE LORD said to Moses,"In those days,","And the LORD said to Moses, ""Go down; for your people, whom you brought up out of the land of Egypt, have corrupted themselves;","7. And the LORD said to Moses, ""Go down; for your people, whom you brought up out of the land of Egypt, have corrupted themselves;",raw_verse_conjunction:and; verse_number_in_rendered
standard,Ordinary Time/24/Sunday/C,,gospel,Luke 15:1-10,TAX collectors and sinners were all drawing near to listen to Jesus,"At that time,",Now the tax collectors and sinners were all drawing near to hear him.,1. Now the tax collectors and sinners were all drawing near to hear Jesus.,raw_verse_conjunction:now
standard,Ordinary Time/25/Sunday/A,,first_reading,Isa 55:6-9,SEEK the LORD while he may be found,Thus says the LORD:,"""Seek the LORD while he may be found, call upon him while he is near;","6. ""Seek the LORD while he may be found, call upon him while he is near;",verse_number_in_rendered
standard,Ordinary Time/25/Sunday/B,,first_reading,"Wis 2:12, 17-20",THE wicked say,Wisdom has been given to us:,"""Let us lie in wait for the righteous man,","12. THE wicked say: ""Let us lie in wait for the righteous man,",verse_number_in_rendered
standard,Ordinary Time/25/Sunday/B,,gospel,Mark 9:30-37,JESUS and his disciples left from there and began a journey,"At that time,",They went on from there and passed through Galilee. And he would not have any one know it;,30. JESUS and his disciples:: They went on from there and passed through Galilee. And he would not have any one know it;,verse_number_in_rendered
standard,Ordinary Time/25/Sunday/C,,first_reading,Am 8:4-7,"HEAR this, you who trample upon the needy",,"Hear this, you who trample upon the needy, and bring the poor of the land to an end,","4. Hear this, you who trample upon the needy, and bring the poor of the land to an end,",verse_number_in_rendered
standard,Ordinary Time/25/Sunday/C,,gospel,Luke 16:1-13 or 16:10-13,"JESUS said to his disciples ""A rich man had a steward","At that time,",[PARSE_ERROR],Reading text unavailable for Luke 16:1-13 or 16:10-13.,text_unavailable
standard,Ordinary Time/26/Sunday/A,,first_reading,Ez 18:25-28,"THUS says the LORD You say, ""The LORD's way is not fair!""",,"""Yet you say, 'The way of the Lord is not just.' Hear now, O house of Israel: Is my way not just? Is it not your ways that are not just?","25. THUS says the LORD:: ""Yet you say, 'The way of the Lord is not just.' Hear now, O house of Israel: Is my way not just? Is it not your ways that are not just?",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/26/Sunday/A,,gospel,Matt 21:28-32,JESUS said to the chief priests and elders of the people,"At that time,","""What do you think? A man had two sons; and he went to the first and said, 'Son, go and work in the vineyard today.'","28. JESUS said to the:: ""What do you think? A man had two sons; and he went to the first and said, 'Son, go and work in the vineyard today.'",verse_number_in_rendered
standard,Ordinary Time/26/Sunday/B,,first_reading,Nm 11:25-29,THE LORD came down in the cloud and spoke to Moses.,,[BOOK_NOT_FOUND: Nm],Reading text unavailable for Nm 11:25-29.,text_unavailable
standard,Ordinary Time/26/Sunday/B,,gospel,"Mark 9:38-43, 45, 47-48","AT that time, John said to Jesus","At that time,","John said to him, ""Teacher, we saw a man casting out demons in your name,  and we forbade him, because he was not following us.""","38. John said to Jesus, ""Teacher, we saw a man casting out demons in your name,  and we forbade him, because he was not following us.""",verse_number_in_rendered
standard,Ordinary Time/26/Sunday/C,,first_reading,"Am 6:1a, 4-7",THUS says the Lord the God of hosts Woe to the complacent in Zion!,,"""Woe to those who are at ease in Zion, and to those who feel secure on the mountain of Samaria, the notable men of the first of the nations, to whom the house of Israel come!","1. THUS says the Lord: ""Woe to those who are at ease in Zion",raw_verse_conjunction:thus
standard,Ordinary Time/26/Sunday/C,,gospel,Luke 16:19-31,"JESUS said to the Pharisees ""There was a rich man who dressed in purple garments and fine linen","At that time,","""There was a rich man, who was clothed in purple and fine linen and who feasted sumptuously every day.","19. JESUS said to the:: ""There was a rich man, who was clothed in purple and fine linen and who feasted sumptuously every day.",verse_number_in_rendered
standard,Ordinary Time/27/Sunday/A,,gospel,Matt 21:33-43,JESUS said to the chief priests and the elders of the people,"At that time,","""Hear another parable. There was a householder who planted a vineyard, and set a hedge around it, and dug a wine press in it, and built a tower, and let it out to tenants, and went into another country.34  When the season of fruit drew near, he sent his servants to the tenants, to get his fruit;","33. JESUS said to the:: ""Hear another parable. There was a householder who planted a vineyard, and set a hedge around it, and dug a wine press in it, and built a tower, and let it out to tenants, and went into another country.34  When the season of fruit drew near, he sent his servants to the tenants, to get his fruit;",verse_number_in_rendered
standard,Ordinary Time/27/Sunday/B,,first_reading,Gen 2:18-24,"THE LORD God said: ""It is not good for the man to be alone.","In the beginning,","Then the LORD God said, ""It is not good that the man should be alone; I will make him a helper fit for him.""","18. Then the LORD God said, ""It is not good that the man should be alone; I will make him a helper fit for him.""",raw_verse_conjunction:then; verse_number_in_rendered
standard,Ordinary Time/27/Sunday/B,,gospel,Mark 10:2-16 or 10:2-12,THE Pharisees approached Jesus and asked,"At that time,",[PARSE_ERROR],Reading text unavailable for Mark 10:2-16 or 10:2-12.,text_unavailable
standard,Ordinary Time/27/Sunday/C,,first_reading,Heb 1:2-3; 2:2-4,"HOW long, O LORD? I cry for help",Brethren:,"but in these last days he has spoken to us by a Son, whom he appointed the heir of all things, through whom also he created the world.","2. HOW long, O LORD?:: but in these last days he has spoken to us by a Son, whom he appointed the heir of all things, through whom also he created the world.",verse_number_in_rendered
standard,Ordinary Time/27/Sunday/C,,gospel,Luke 17:5-10,"THE apostles said to the Lord, ""Increase our faith.""","At that time,","The apostles said to the Lord, ""Increase our faith!""","5.     The apostles said to the Lord, ""Increase our faith!""",verse_number_in_rendered
standard,Ordinary Time/28/Sunday/A,,first_reading,Isa 25:6-10a,ON this mountain the LORD of hosts,Thus says the LORD:,"On this mountain the LORD of hosts will make for all peoples a feast of fat things, a feast of wine on the lees, of fat things full of marrow, of wine on the lees well refined.","6. On this mountain the LORD of hosts will make for all peoples a feast of fat things, a feast of wine on the lees, of fat things full of marrow, of wine on the lees well refined.",verse_number_in_rendered
standard,Ordinary Time/28/Sunday/A,,gospel,Matt 22:1-14 or 22:1-10,JESUS again in reply spoke to the chief priests and elders of the people,"At that time,",[PARSE_ERROR],Reading text unavailable for Matt 22:1-14 or 22:1-10.,text_unavailable
standard,Ordinary Time/28/Sunday/B,,first_reading,Wis 7:7-11,"I PRAYED, and prudence was given me",Wisdom has been given to us:,"Therefore I prayed, and understanding was given me;","7. Therefore I prayed, and understanding was given me;",raw_verse_conjunction:therefore; verse_number_in_rendered
standard,Ordinary Time/28/Sunday/B,,gospel,Mark 10:17-30 or 10:17-27,"AS Jesus was setting out on a journey, a man ran up","At that time,",[PARSE_ERROR],Reading text unavailable for Mark 10:17-30 or 10:17-27.,text_unavailable
standard,Ordinary Time/28/Sunday/C,,first_reading,2 Kgs 5:14-17,NAAMAN went down and plunged into the Jordan seven times,"In those days,","So he went down and dipped himself seven times in the Jordan, according to the word of the man of God; and his flesh was restored like the flesh of a little child, and he was clean.","14. NAAMAN went down and:: So he went down and dipped himself seven times in the Jordan, according to the word of the man of God; and his flesh was restored like the flesh of a little child, and he was clean.",verse_number_in_rendered
standard,Ordinary Time/28/Sunday/C,,gospel,Luke 17:11-19,AS Jesus continued his journey to Jerusalem,"At that time,",On the way to Jerusalem he was passing along between Samaria and Galilee.,11. AS Jesus continued his:: On the way to Jerusalem Jesus was passing along between Samaria and Galilee.,verse_number_in_rendered
standard,Ordinary Time/29/Sunday/A,,first_reading,"Isa 45:1, 4-6","THUS says the LORD to his anointed, Cyrus",Thus says the LORD:,"Thus says the LORD to his anointed, to Cyrus, whose right hand I have grasped, to subdue nations before him and ungird the loins of kings, to open doors before him that gates may not be closed:","1. Thus says the LORD to his anointed, to Cyrus, whose right hand I have grasped, to subdue nations before him and ungird the loins of kings, to open doors before him that gates may not be closed:",raw_verse_conjunction:thus
standard,Ordinary Time/29/Sunday/A,,gospel,Matt 22:15-21,THE Pharisees went off,"At that time,",Then the Pharisees went and took counsel how to entangle him in his talk.,15.     Then the Pharisees went and took counsel how to entangle Jesus in his talk.,raw_verse_conjunction:then; verse_number_in_rendered
standard,Ordinary Time/29/Sunday/B,,first_reading,Isa 53:10-11,THE LORD was pleased,Thus says the LORD:,"Yet it was the will of the LORD to bruise him; he has put him to grief;  when he makes himself an offering for sin, he shall see his offspring, he shall prolong his days; the will of the LORD shall prosper in his hand;","10. THE LORD was pleased: Yet it was the will of the LORD to bruise him; he has put him to grief;  when he makes himself an offering for sin, he shall see his offspring, he shall prolong his days; the will of the LORD shall prosper in his hand;",verse_number_in_rendered; conjunction_after_incipit:yet
standard,Ordinary Time/29/Sunday/B,,gospel,Mark 10:35-45 or 10:42-45,"JAMES and John, the sons of Zebedee, came to Jesus and said to him","At that time,",[PARSE_ERROR],Reading text unavailable for Mark 10:35-45 or 10:42-45.,text_unavailable
standard,Ordinary Time/29/Sunday/C,,first_reading,Exod 17:8-13,"IN those days, Amalek came and waged war against Israel.","In those days,",Then came Amalek and fought with Israel at Rephidim.,"8. IN those days, Amalek: Came Amalek and fought with Israel at Rephidim.",verse_number_in_rendered
standard,Ordinary Time/29/Sunday/C,,gospel,Luke 18:1-8,JESUS told his disciples a parable,"At that time,","And he told them a parable, to the effect that they ought always to pray and not lose heart.","1. And Jesus told them a parable, to the effect that they ought always to pray and not lose heart.",raw_verse_conjunction:and
standard,Ordinary Time/30/Sunday/A,,first_reading,Exod 22:20-26,"THUS says the Lord ""You shall not molest or oppress an alien","In those days,","""Whoever sacrifices to any god, save to the LORD only, shall be utterly destroyed.","20. THUS says the Lord:: ""Whoever sacrifices to any god, save to the LORD only, shall be utterly destroyed.",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/30/Sunday/A,,gospel,Matt 22:34-40,WHEN the Pharisees heard that Jesus had silenced the Sadducees,"At that time,","But when the Pharisees heard that he had silenced the Sadducees, they came together.","34. But when the Pharisees heard that Jesus had silenced the Sadducees, they came together.",raw_verse_conjunction:but; verse_number_in_rendered
standard,Ordinary Time/30/Sunday/B,,first_reading,Jer 31:7-9,THUS says the LORD Shout with joy for Jacob,Thus says the LORD:,"For thus says the LORD: ""Sing aloud with gladness for Jacob, and raise shouts for the chief of the nations; proclaim, give praise, and  say, 'The LORD has saved his people, the remnant of Israel.'","7. THUS says the LORD:: Thus says the LORD: ""Sing aloud with gladness for Jacob, and raise shouts for the chief of the nations; proclaim, give praise, and  say, 'The LORD has saved his people, the remnant of Israel.'",raw_verse_conjunction:thus; verse_number_in_rendered
standard,Ordinary Time/30/Sunday/B,,gospel,Mark 10:46-52,AS Jesus was leaving Jericho with his disciples and a sizable crowd,"At that time,","And they came to Jericho; and as he was leaving Jericho with his disciples and a great multitude, Bartimaeus, a blind beggar, the son of Timaeus, was sitting by the roadside.","46. AS Jesus was leaving:: And they came to Jericho; and as he was leaving Jericho with his disciples and a great multitude, Bartimaeus, a blind beggar, the son of Timaeus, was sitting by the roadside.",verse_number_in_rendered
standard,Ordinary Time/30/Sunday/C,,first_reading,"Sir 35:12-14, 16-18",THE LORD is a God of justice,"My son,","Do not offer him a bribe, for he will not accept it;and do not trust to an unrighteous sacrifice;for the Lord is the judge, and with him is no partiality.","12. THE LORD is a:: Do not offer him a bribe, for he will not accept it;and do not trust to an unrighteous sacrifice;for the Lord is the judge, and with him is no partiality.",verse_number_in_rendered
standard,Ordinary Time/30/Sunday/C,,gospel,Luke 18:9-14,JESUS addressed this parable,"At that time,",He also told this parable to some who trusted in themselves that they were righteous and despised others:,9. Jesus also told this parable to some who trusted in themselves that they were righteous and despised others:,verse_number_in_rendered
standard,Ordinary Time/31/Sunday/A,,first_reading,"Mal 1:14b-2:2b, 8-10","A GREAT King am I, says the LORD of hosts",Thus says the LORD:,"Cursed be the cheat who has a male in his flock, and vows it, and yet sacrifices to the Lord what is blemished; for I am a great King, says the LORD of hosts, and my name is feared among the nations.",14. A GREAT King am:: and vows it,verse_number_in_rendered
standard,Ordinary Time/31/Sunday/A,,gospel,Matt 23:1-12,"JESUS spoke to the crowds and to his disciples, saying","At that time,","Then said Jesus to the crowds and to his disciples,","1. Then said Jesus to the crowds and to his disciples,",raw_verse_conjunction:then
standard,Ordinary Time/31/Sunday/B,,first_reading,Deut 6:2-6,"MOSES spoke to the people, saying",Moses said to the people:,"that you may fear the LORD your God, you and your son and your son's son, by keeping all his statutes and his commandments, which I command you, all the days of your life; and that your days may be prolonged.","2. MOSES spoke to the:: that you may fear the LORD your God, you and your son and your son's son, by keeping all his statutes and his commandments, which I command you, all the days of your life; and that your days may be prolonged.",verse_number_in_rendered
standard,Ordinary Time/31/Sunday/B,,gospel,Mark 12:28b-34,ONE of the scribes came to Jesus and asked him,"At that time,","And one of the scribes came up and heard them disputing with one another, and seeing that he answered them well, asked him, ""Which commandment is the first of all?""","28. ONE of the scribes:: and seeing that Jesus answered them well, asked him, ""Which commandment is the first of all",verse_number_in_rendered
standard,Ordinary Time/31/Sunday/C,,first_reading,Wis 11:22-12:2,BEFORE the LORD the whole universe is as a grain from a balance,Wisdom has been given to us:,"Because the whole world before thee is like a speck that tips the scales,","22. BEFORE the LORD the:: Because the whole world before thee is like a speck that tips the scales,",verse_number_in_rendered
standard,Ordinary Time/32/Sunday/A,,first_reading,Wis 6:12-16,RESPLENDENT and unfading is wisdom,Wisdom has been given to us:,"Wisdom is radiant and unfading,","12. Wisdom is radiant and unfading,",verse_number_in_rendered
standard,Ordinary Time/32/Sunday/B,,first_reading,1 Kgs 17:10-16,"IN those days, Elijah the prophet went to Zarephath.","In those days,","So he arose and went to Zarephath; and when he came to the gate of the city, behold, a widow was there gathering sticks; and he called to her and said, ""Bring me a little water in a vessel, that I may drink.""","10. IN those days, Elijah: He arose and went to Zarephath; and when he came to the gate of the city, behold, a widow was there gathering sticks; and he called to her and said, ""Bring me a little water in a vessel, that I may drink.""",verse_number_in_rendered; pronoun_after_incipit:he
standard,Ordinary Time/32/Sunday/B,,gospel,Mark 12:38-44 or 12:41-44,IN the course of his teaching Jesus said to the crowds,"At that time,",[PARSE_ERROR],Reading text unavailable for Mark 12:38-44 or 12:41-44.,text_unavailable
standard,Ordinary Time/32/Sunday/C,,first_reading,"2 Mc 7:1-2, 9-14",IT happened that seven brothers with their mother were arrested,,[BOOK_NOT_FOUND: 2 Mc],"Reading text unavailable for 2 Mc 7:1-2, 9-14.",text_unavailable
standard,Ordinary Time/32/Sunday/C,,gospel,"Luke 20:27-38 or 20:27, 34-38","SOME Sadducees, those who deny that there is a resurrection","At that time,","And Jesus said to them, ""The sons of this age marry and are given in marriage;","34. SOME Sadducees, those who:: Jesus said to them, ""The sons of this age marry and are given in marriage;",verse_number_in_rendered
